Id,LotArea,OverallQual,T_Bath,T_Br,Fireplaces,GarageCars,T_Sf,SalePrice
1,8450,7,4,3,0,2,2238.52,208500
2,9600,6,3,3,1,2,2138.6,181500
3,11250,7,4,3,1,2,2242.44,223500
4,9550,7,2,3,1,3,2269.48,140000
5,14260,8,4,4,1,3,2931.38,250000
6,14115,5,3,1,0,2,2145.76,143000
7,10084,8,3,3,1,2,2840.34,307000
8,10382,7,4,3,2,2,3217.14,200000
9,6120,7,2,2,2,2,2278.56,129900
10,7420,5,2,2,2,1,1647.02,118000
11,11200,5,2,3,0,1,1639.24,129500
12,11924,9,4,4,2,3,3103.2,345000
13,12968,5,2,2,0,1,1613.14,144000
14,10652,7,2,3,1,3,2041.12,279500
15,10920,6,3,2,1,1,2178.34,157000
16,6120,7,1,2,0,2,1207.28,132000
17,11241,6,2,2,1,2,1481.64,149000
18,10791,4,2,2,0,2,1296,90000
19,13695,5,3,3,0,2,1727.16,159000
20,7560,5,1,3,0,1,1798.48,139000
21,14215,8,4,4,1,3,2977.04,325300
22,7449,7,1,3,1,1,1466.76,139400
23,9742,8,2,3,1,2,2529.2,230000
24,4224,5,2,3,1,2,1788.8,129900
25,8246,5,2,3,1,1,1979.68,154000
26,14230,8,2,3,1,3,2083.28,256300
27,7200,5,2,3,0,2,1564.48,134800
28,11478,8,3,3,1,3,2635.24,306000
29,16321,5,2,2,2,1,2840.42,207500
30,6324,4,1,1,0,1,773.52,68500
31,8500,4,1,3,0,1,1693.28,40000
32,8544,5,2,3,0,1,1623.84,149350
33,11049,8,2,3,0,2,1603.52,179900
34,10552,5,3,4,1,2,2467.96,165500
35,7313,9,3,2,1,2,2557.62,277500
36,13418,8,4,4,1,3,2862.68,309000
37,10859,5,2,3,0,2,1706.24,145000
38,8532,5,2,3,1,2,2072.58,153000
39,7922,5,2,3,0,1,1643.1,109000
40,6040,4,2,2,0,0,1152,82000
41,8658,6,2,3,1,2,1957.66,160000
42,16905,5,3,2,2,1,2117.98,170000
43,9180,5,2,2,0,2,1558.4,144000
44,9200,5,2,3,0,1,1555.58,130250
45,7945,5,2,3,0,1,1704.9,141000
46,7658,9,3,2,1,2,2588.64,319900
47,12822,7,3,1,1,2,3270.58,239686
48,11096,8,2,3,0,3,2244.64,249700
49,4456,4,2,2,0,0,1747.84,113000
50,7742,5,2,3,0,1,1481.82,127000
51,13869,6,3,3,0,2,1814.2,177000
52,6240,6,1,3,1,2,1476.16,114500
53,8472,5,2,2,0,2,1389.76,110000
54,50271,9,3,0,1,3,3579.24,385000
55,7134,5,1,3,1,2,1638.08,130000
56,10175,6,2,3,1,2,2324.34,180500
57,2645,8,4,3,0,2,2304.86,172500
58,11645,7,3,3,0,2,2016.8,196500
59,13682,10,4,3,1,3,3495.24,438780
60,7200,5,1,2,0,1,1338.72,124900
61,13072,6,3,3,0,2,1842.18,158000
62,7200,5,1,3,0,1,1386.12,101000
63,6442,8,2,2,1,2,1877.76,202500
64,10300,7,2,3,0,2,1944.08,140000
65,9375,7,4,3,0,2,2978.66,219500
66,9591,8,3,4,1,3,3036.72,317000
67,19900,7,3,3,1,2,3254.88,180000
68,10665,7,3,3,0,2,2345.62,226000
69,4608,4,1,2,0,1,956.16,80000
70,15593,7,2,3,1,2,2974.26,225000
71,13651,7,3,3,2,2,3676.64,244000
72,7599,4,2,2,0,2,1273.7,129500
73,10141,7,3,3,1,2,2200.76,185000
74,10200,5,2,3,0,2,1621.96,144900
75,5790,3,2,3,0,1,2017.96,107400
76,1596,4,2,2,0,1,1432.04,91000
77,8475,4,1,2,0,1,1296.08,135750
78,8635,5,2,2,0,1,1601.34,127000
79,10778,4,2,4,0,0,2263.04,136500
80,10440,5,2,2,0,2,1513.2,110000
81,13000,6,3,4,1,1,2754,193500
82,4500,6,3,2,0,2,2250.9,153500
83,10206,8,2,3,1,3,2183.22,245000
84,8892,5,2,3,0,2,1410.56,126500
85,8530,7,3,3,1,2,1715.92,168500
86,16059,8,3,4,1,2,2924.52,260000
87,11911,6,3,3,1,2,1845.92,174000
88,3951,6,3,2,0,2,1582.56,164500
89,8470,3,1,2,0,0,1946.92,85000
90,8070,4,2,3,0,0,1467.12,123600
91,7200,4,1,2,0,2,1063.2,109900
92,8500,5,1,2,0,2,1784.8,98600
93,13360,5,2,2,0,2,1490.42,163500
94,7200,6,3,4,1,2,3045.96,133900
95,9337,6,4,3,0,2,2366.64,204750
96,9765,6,3,3,1,2,1964.68,185000
97,10264,7,2,3,0,2,2552.04,214000
98,10921,4,2,3,0,1,1482.4,94750
99,10625,5,1,2,0,1,1067.72,83000
100,9320,4,3,3,0,0,1909.74,128950
101,10603,6,3,3,2,2,2630.72,205000
102,9206,6,3,3,1,2,2099.16,178000
103,7018,5,2,4,0,2,1535,118964
104,10402,7,2,3,0,3,1598.08,198900
105,7758,7,2,4,2,1,2295.76,169500
106,9375,8,3,3,1,2,2412.44,250000
107,10800,4,1,2,0,1,1226.48,100000
108,6000,5,1,2,0,1,1102.74,115000
109,8500,5,2,3,0,0,1865.76,115000
110,11751,6,2,3,1,2,2697.62,190000
111,9525,6,2,4,0,1,2400.76,136900
112,7750,7,3,3,1,2,1737.72,180000
113,9965,7,4,4,1,3,3709.28,383970
114,21000,6,3,3,2,2,3444.08,217000
115,7259,6,4,3,1,1,3065.36,259500
116,3230,6,3,2,1,2,1830.18,176000
