Id,LotArea,OverallQual,T_Bath,T_Br,Fireplaces,GarageCars,Ppf_Adj,T_Sf,SalePrice
1,8450,1.15,4,3,0,2,135.125,2238.52,208500
2,9600,1.1,3,3,1,2,129.25,2138.6,181500
3,11250,1.15,4,3,1,2,135.125,2242.44,223500
4,9550,1.15,2,3,1,3,135.125,2269.48,140000
5,14260,1.15,4,4,1,3,135.125,2931.38,250000
6,14115,0.95,3,1,0,2,111.625,2145.76,143000
7,10084,1.15,3,3,1,2,135.125,2840.34,307000
8,10382,1.15,4,3,2,2,135.125,3217.14,200000
9,6120,1.15,2,2,2,2,135.125,2278.56,129900
10,7420,0.95,2,2,2,1,111.625,1647.02,118000
11,11200,0.95,2,3,0,1,111.625,1639.24,129500
12,11924,1.2,4,4,2,3,141,3103.2,345000
13,12968,0.95,2,2,0,1,111.625,1613.14,144000
14,10652,1.15,2,3,1,3,135.125,2041.12,279500
15,10920,1.1,3,2,1,1,129.25,2178.34,157000
16,6120,1.15,1,2,0,2,135.125,1207.28,132000
17,11241,1.1,2,2,1,2,129.25,1481.64,149000
18,10791,0.9,2,2,0,2,105.75,1296,90000
19,13695,0.95,3,3,0,2,111.625,1727.16,159000
20,7560,0.95,1,3,0,1,111.625,1798.48,139000
21,14215,1.15,4,4,1,3,135.125,2977.04,325300
22,7449,1.15,1,3,1,1,135.125,1466.76,139400
23,9742,1.15,2,3,1,2,135.125,2529.2,230000
24,4224,0.95,2,3,1,2,111.625,1788.8,129900
25,8246,0.95,2,3,1,1,111.625,1979.68,154000
26,14230,1.15,2,3,1,3,135.125,2083.28,256300
27,7200,0.95,2,3,0,2,111.625,1564.48,134800
28,11478,1.15,3,3,1,3,135.125,2635.24,306000
29,16321,0.95,2,2,2,1,111.625,2840.42,207500
30,6324,0.9,1,1,0,1,105.75,773.52,68500
31,8500,0.9,1,3,0,1,105.75,1693.28,40000
32,8544,0.95,2,3,0,1,111.625,1623.84,149350
33,11049,1.15,2,3,0,2,135.125,1603.52,179900
34,10552,0.95,3,4,1,2,111.625,2467.96,165500
35,7313,1.2,3,2,1,2,141,2557.62,277500
36,13418,1.15,4,4,1,3,135.125,2862.68,309000
37,10859,0.95,2,3,0,2,111.625,1706.24,145000
38,8532,0.95,2,3,1,2,111.625,2072.58,153000
39,7922,0.95,2,3,0,1,111.625,1643.1,109000
40,6040,0.9,2,2,0,0,105.75,1152,82000
41,8658,1.1,2,3,1,2,129.25,1957.66,160000
42,16905,0.95,3,2,2,1,111.625,2117.98,170000
43,9180,0.95,2,2,0,2,111.625,1558.4,144000
44,9200,0.95,2,3,0,1,111.625,1555.58,130250
45,7945,0.95,2,3,0,1,111.625,1704.9,141000
46,7658,1.2,3,2,1,2,141,2588.64,319900
47,12822,1.15,3,1,1,2,135.125,3270.58,239686
48,11096,1.15,2,3,0,3,135.125,2244.64,249700
49,4456,0.9,2,2,0,0,105.75,1747.84,113000
50,7742,0.95,2,3,0,1,111.625,1481.82,127000
51,13869,1.1,3,3,0,2,129.25,1814.2,177000
52,6240,1.1,1,3,1,2,129.25,1476.16,114500
53,8472,0.95,2,2,0,2,111.625,1389.76,110000
54,50271,1.2,3,0,1,3,141,3579.24,385000
55,7134,0.95,1,3,1,2,111.625,1638.08,130000
56,10175,1.1,2,3,1,2,129.25,2324.34,180500
57,2645,1.15,4,3,0,2,135.125,2304.86,172500
58,11645,1.15,3,3,0,2,135.125,2016.8,196500
59,13682,10,4,3,1,3,1175,3495.24,438780
60,7200,0.95,1,2,0,1,111.625,1338.72,124900
61,13072,1.1,3,3,0,2,129.25,1842.18,158000
62,7200,0.95,1,3,0,1,111.625,1386.12,101000
63,6442,1.15,2,2,1,2,135.125,1877.76,202500
64,10300,1.15,2,3,0,2,135.125,1944.08,140000
65,9375,1.15,4,3,0,2,135.125,2978.66,219500
66,9591,1.15,3,4,1,3,135.125,3036.72,317000
67,19900,1.15,3,3,1,2,135.125,3254.88,180000
68,10665,1.15,3,3,0,2,135.125,2345.62,226000
69,4608,0.9,1,2,0,1,105.75,956.16,80000
70,15593,1.15,2,3,1,2,135.125,2974.26,225000
71,13651,1.15,3,3,2,2,135.125,3676.64,244000
72,7599,0.9,2,2,0,2,105.75,1273.7,129500
73,10141,1.15,3,3,1,2,135.125,2200.76,185000
74,10200,0.95,2,3,0,2,111.625,1621.96,144900
75,5790,0.85,2,3,0,1,99.875,2017.96,107400
76,1596,0.9,2,2,0,1,105.75,1432.04,91000
77,8475,0.9,1,2,0,1,105.75,1296.08,135750
78,8635,0.95,2,2,0,1,111.625,1601.34,127000
79,10778,0.9,2,4,0,0,105.75,2263.04,136500
80,10440,0.95,2,2,0,2,111.625,1513.2,110000
81,13000,1.1,3,4,1,1,129.25,2754,193500
82,4500,1.1,3,2,0,2,129.25,2250.9,153500
83,10206,1.15,2,3,1,3,135.125,2183.22,245000
84,8892,0.95,2,3,0,2,111.625,1410.56,126500
85,8530,1.15,3,3,1,2,135.125,1715.92,168500
86,16059,1.15,3,4,1,2,135.125,2924.52,260000
87,11911,1.1,3,3,1,2,129.25,1845.92,174000
88,3951,1.1,3,2,0,2,129.25,1582.56,164500
89,8470,0.85,1,2,0,0,99.875,1946.92,85000
90,8070,0.9,2,3,0,0,105.75,1467.12,123600
91,7200,0.9,1,2,0,2,105.75,1063.2,109900
92,8500,0.95,1,2,0,2,111.625,1784.8,98600
93,13360,0.95,2,2,0,2,111.625,1490.42,163500
94,7200,1.1,3,4,1,2,129.25,3045.96,133900
95,9337,1.1,4,3,0,2,129.25,2366.64,204750
96,9765,1.1,3,3,1,2,129.25,1964.68,185000
97,10264,1.15,2,3,0,2,135.125,2552.04,214000
98,10921,0.9,2,3,0,1,105.75,1482.4,94750
99,10625,0.95,1,2,0,1,111.625,1067.72,83000
100,9320,0.9,3,3,0,0,105.75,1909.74,128950
101,10603,1.1,3,3,2,2,129.25,2630.72,205000
102,9206,1.1,3,3,1,2,129.25,2099.16,178000
103,7018,0.95,2,4,0,2,111.625,1535,118964
104,10402,1.15,2,3,0,3,135.125,1598.08,198900
105,7758,1.15,2,4,2,1,135.125,2295.76,169500
106,9375,1.15,3,3,1,2,135.125,2412.44,250000
107,10800,0.9,1,2,0,1,105.75,1226.48,100000
108,6000,0.95,1,2,0,1,111.625,1102.74,115000
109,8500,0.95,2,3,0,0,111.625,1865.76,115000
110,11751,1.1,2,3,1,2,129.25,2697.62,190000
111,9525,1.1,2,4,0,1,129.25,2400.76,136900
112,7750,1.15,3,3,1,2,135.125,1737.72,180000
113,9965,1.15,4,4,1,3,135.125,3709.28,383970
114,21000,1.1,3,3,2,2,129.25,3444.08,217000
115,7259,1.1,4,3,1,1,129.25,3065.36,259500
116,3230,1.1,3,2,1,2,129.25,1830.18,176000
117,11616,0.95,2,3,1,1,111.625,1826.08,139000
118,8536,0.95,2,2,0,2,111.625,1542.4,155000
119,12376,1.15,4,5,2,3,135.125,4425.12,320000
120,8461,1.1,3,3,1,2,129.25,1679.04,163990
121,21453,1.1,2,1,2,2,129.25,1780.16,180000
122,6060,0.9,1,3,0,1,105.75,1451.16,100000
123,9464,1.1,1,3,0,1,129.25,1654.2,136000
124,7892,1.1,2,2,0,2,129.25,1687.12,153900
125,17043,1.1,2,3,1,2,129.25,2090.24,181000
126,6780,1.1,2,2,0,0,129.25,1100.12,84500
127,4928,1.1,2,2,1,2,129.25,1464.64,128000
128,4388,0.95,1,3,1,0,111.625,1067.6,87000
129,7590,1.1,2,3,1,2,129.25,1913.6,155000
130,8973,0.95,3,3,0,2,111.625,1749.14,150000
131,14200,1.15,3,4,2,2,135.125,2687.02,226000
132,12224,1.1,4,3,1,2,129.25,2621.82,244000
133,7388,0.95,2,3,0,2,111.625,1762.34,150750
134,6853,1.15,3,2,0,2,135.125,2135.34,220000
135,10335,0.95,3,3,1,2,111.625,2559.08,180000
136,10400,1.15,2,3,1,2,135.125,2109.84,174000
137,10355,0.95,2,3,1,1,111.625,1879.02,143000
138,11070,1.15,3,5,0,3,135.125,2492.96,171000
139,9066,1.15,3,3,2,3,135.125,2588.4,230000
140,15426,1.1,4,3,0,2,129.25,2558.82,231500
141,10500,0.9,1,3,1,0,105.75,1252.8,115000
142,11645,1.15,3,3,0,2,135.125,2783.12,260000
143,8520,0.95,2,4,0,2,111.625,1812.18,166000
144,10335,1.15,3,3,0,2,135.125,2264.42,204000
145,9100,0.95,3,6,0,2,111.625,2664.72,125000
146,2522,1.1,2,3,0,2,129.25,2012.6,130000
147,6120,0.95,2,2,0,1,111.625,1176.98,105000
148,9505,1.15,3,3,1,2,135.125,2413.08,222500
149,7500,1.15,2,3,0,0,135.125,1613.6,141000
150,6240,0.95,1,3,0,1,111.625,1814.08,115000
151,10356,0.95,2,3,0,2,111.625,1483.76,122000
152,13891,1.15,3,2,1,3,135.125,2746.4,372402
153,14803,1.1,3,4,1,2,129.25,2418.24,190000
154,13500,1.1,2,1,1,2,129.25,2475.38,235000
155,11340,1.1,1,4,0,1,129.25,1736.64,125000
156,9600,1.1,1,2,0,0,129.25,1375.2,79000
157,7200,0.95,1,2,0,2,111.625,1040,109500
158,12003,1.15,3,4,1,3,135.125,2244.72,269500
159,12552,1.15,3,3,1,2,135.125,2408.76,254900
160,19378,1.15,4,4,1,2,135.125,3267.46,320000
161,11120,1.1,2,3,0,2,129.25,1801.36,162500
162,13688,1.2,4,3,2,3,141,3709.6,412500
163,12182,1.15,2,3,1,2,135.125,2436.82,220000
164,5500,0.9,1,1,0,0,105.75,1128.96,103200
165,5400,1.1,2,3,0,1,129.25,2224.56,152000
166,10106,0.95,3,4,0,0,111.625,1805.8,127500
167,10708,0.95,2,2,3,1,111.625,3099.58,190000
168,10562,1.15,3,3,1,3,135.125,3251.8,325624
169,8244,1.15,3,3,1,2,135.125,2057.6,183500
170,16669,1.15,3,2,1,2,135.125,2597.64,228000
171,12358,0.95,2,2,0,2,111.625,1857.68,128500
172,31770,1.1,2,3,2,2,129.25,2359.66,215000
173,5306,1.15,3,2,1,2,135.125,2616.56,239000
174,10197,1.1,3,3,1,2,129.25,1984.44,163000
175,12416,1.1,3,3,1,2,129.25,2769.6,184000
176,12615,1.1,3,4,1,2,129.25,2714.26,243000
177,10029,1.1,4,4,1,2,129.25,2962.42,211000
178,13650,0.95,3,4,1,2,111.625,2383.88,172500
179,17423,1.2,3,1,1,3,141,3549.84,501837
180,8520,0.95,1,2,0,2,111.625,1400.96,100000
181,2117,1.1,3,3,1,2,129.25,1884.92,177000
182,7588,1.15,2,4,1,1,135.125,2178.92,200100
183,9060,0.95,1,3,1,1,111.625,1561.84,120000
184,11426,1.15,3,3,0,2,135.125,2832.96,200000
185,7438,0.95,1,3,0,2,111.625,1459.68,127000
186,22950,10,3,4,2,3,1175,4371.96,475000
187,9947,1.15,3,3,0,2,135.125,1886.5,173000
188,10410,0.95,3,3,0,1,111.625,1955.6,135000
189,7018,0.95,4,2,2,2,111.625,1974.12,153337
190,4923,1.15,3,0,1,2,135.125,2661.46,286000
191,10570,1.15,3,3,2,2,135.125,3126.02,315000
192,7472,1.15,3,4,0,2,135.125,1920.44,184000
193,9017,1.15,3,3,0,2,135.125,2050.08,192000
194,2522,1.15,2,3,0,2,135.125,2012.6,130000
195,7180,0.95,1,3,0,1,111.625,1238.52,127000
196,2280,1.1,3,3,1,2,129.25,1943.52,148500
197,9416,1.15,3,3,1,3,135.125,2971.56,311872
198,25419,1.15,4,4,1,2,135.125,4406.16,235000
199,5520,1.1,1,5,0,0,129.25,2625.2,104000
200,9591,1.15,3,3,1,3,135.125,2685.36,274900
201,8546,0.9,2,2,0,2,105.75,1570.56,140000
202,10125,1.1,3,3,2,2,129.25,2145.4,171500
203,7000,1.1,2,2,0,1,129.25,1803.42,112000
204,4438,1.1,2,1,1,2,129.25,1405.88,149000
205,3500,0.95,2,2,0,1,111.625,1619.68,110000
206,11851,1.15,2,3,0,2,135.125,2284.48,180500
207,13673,0.95,2,3,1,1,111.625,2039.2,143900
208,12493,0.9,2,3,1,1,105.75,1881.7,141000
209,14364,1.15,4,3,1,2,135.125,2922.86,277000
210,8250,1.1,2,3,0,2,129.25,1665.34,145000
211,5604,0.95,2,2,0,0,111.625,1349.52,98000
212,10420,1.1,2,3,0,2,129.25,1645.2,186000
213,8640,1.15,4,3,1,2,135.125,2577.4,252678
214,13568,0.95,2,3,0,2,111.625,1654,156000
215,10900,1.1,2,3,0,1,129.25,1742.24,161750
216,10011,0.95,2,2,1,1,111.625,1658,134450
217,8450,1.15,3,3,0,2,135.125,2327.08,210000
218,9906,0.9,1,3,0,1,105.75,1710.48,107000
219,15660,1.15,3,3,2,2,135.125,2520.58,311500
220,3010,1.15,2,2,0,2,135.125,1672,167240
221,8990,1.15,2,2,0,2,135.125,2168.48,204900
222,8068,1.1,3,4,1,2,129.25,2663.4,200000
223,11475,1.1,4,3,1,2,129.25,2238.8,179900
224,10500,0.9,1,2,0,2,105.75,1483.52,97000
225,13472,10,2,3,1,3,1175,3323.52,386250
226,1680,0.95,3,3,0,1,111.625,1478.4,112000
227,9950,1.15,3,4,1,3,135.125,3283.5,290000
228,1869,1.1,2,2,0,1,129.25,1231.38,106000
229,8521,0.95,1,3,1,1,111.625,1453.64,125000
230,3182,1.15,2,2,1,2,135.125,2052.4,192500
231,8760,1.1,2,3,0,1,129.25,1633.92,148000
232,15138,1.15,4,4,1,3,135.125,3732.18,403000
233,1680,1.1,2,2,1,1,129.25,1122.24,94500
234,10650,0.95,2,3,0,1,111.625,1681.88,128200
235,7851,1.1,4,4,2,2,129.25,2636.02,216500
236,1680,1.1,2,2,0,1,129.25,1243.96,89500
237,8773,1.15,2,3,0,2,135.125,1986.56,185500
238,9453,1.15,3,3,0,2,135.125,2647.52,194500
239,12030,1.15,2,3,0,3,135.125,2458.24,318000
240,8741,1.1,2,3,1,1,129.25,1836.76,113000
241,9000,1.15,3,3,0,2,135.125,2597.56,262500
242,3880,0.95,1,2,0,0,111.625,1240.66,110500
243,5000,0.95,1,3,0,1,111.625,1658.96,79000
244,10762,1.1,2,3,1,1,129.25,1414.68,120000
245,8880,1.15,4,3,2,2,135.125,2715.74,205000
246,10400,1.15,3,3,1,2,135.125,2861.74,241500
247,9142,1.1,2,4,0,1,129.25,2360.16,137000
248,11310,1.1,1,2,1,2,129.25,1781.76,140000
249,11317,1.15,3,3,0,2,135.125,2049.76,180000
250,159000,1.1,3,4,2,2,129.25,2863.7,277000
251,5350,0.85,1,3,0,0,99.875,1678.16,76500
252,4750,1.15,4,2,1,2,135.125,2770.78,235000
253,8366,1.1,3,3,0,2,129.25,1987.76,173000
254,9350,1.1,3,3,0,1,129.25,2168.68,158000
255,8400,0.95,2,3,0,1,111.625,2155.4,145000
256,8738,1.15,3,4,1,2,135.125,2686.88,230000
257,8791,1.1,3,3,0,2,129.25,2323.98,207500
258,8814,1.15,4,3,1,2,135.125,2673.4,220000
259,12435,1.15,3,3,1,2,135.125,2462.08,231500
260,12702,0.95,1,2,0,1,111.625,918,97000
261,19296,1.1,2,3,1,2,129.25,2448.2,176000
262,9588,1.15,3,3,1,3,135.125,3107.36,276000
263,8471,1.1,2,3,1,2,129.25,1722.2,151000
264,5500,0.95,2,3,0,2,111.625,1890.12,130000
265,5232,0.95,1,2,0,2,111.625,954.4,73000
266,12090,1.1,2,3,1,2,129.25,2274.24,175500
267,11207,1.1,4,3,1,2,129.25,2099.12,185000
268,8400,0.95,3,4,1,1,111.625,2709,179500
269,6900,0.95,1,2,1,1,111.625,1184.72,120500
270,7917,1.1,3,3,1,1,129.25,1949.18,148000
271,10728,1.15,3,3,1,3,135.125,2409.28,266000
272,39104,1.15,2,2,2,2,135.125,2240.9,241500
273,11764,1.15,3,4,1,3,135.125,2900.8,290000
274,9600,1.1,3,3,1,1,129.25,2585.76,139000
275,8314,0.95,1,2,0,1,111.625,1337.64,124500
276,7264,1.15,3,3,0,2,135.125,1948.32,205000
277,9196,1.15,2,3,0,2,135.125,2180.8,201000
278,19138,0.9,1,2,0,2,105.75,1146.72,141000
279,14450,1.2,3,3,1,3,141,2957.84,415298
280,10005,1.15,3,4,1,2,135.125,2758,192000
281,11287,1.15,3,3,1,2,135.125,2579.02,228500
282,7200,1.1,2,2,0,2,129.25,2019.06,185000
283,5063,1.15,3,2,1,2,135.125,2148.96,207500
284,9612,1.15,2,3,1,3,135.125,2133.44,244600
285,8012,1.1,3,2,0,2,129.25,2207.96,179200
286,4251,1.15,3,2,0,2,135.125,1468.2,164700
287,9786,1.1,2,3,1,2,129.25,2270.16,159000
288,8125,0.9,1,3,0,0,105.75,1307,88000
289,9819,0.95,1,3,0,1,111.625,1299.96,122000
290,8730,1.1,1,3,0,1,129.25,1746.84,153575
291,15611,1.15,3,3,1,2,135.125,2261.92,233230
292,5687,0.95,3,6,0,0,111.625,2153,135900
293,11409,0.95,2,3,1,1,111.625,2126.32,131000
294,16659,1.15,4,3,1,2,135.125,2955.9,235000
295,9600,1.1,2,3,2,2,129.25,2547.78,167000
296,7937,1.1,2,3,0,2,129.25,1639.1,142500
297,13710,0.95,2,4,0,1,111.625,2140.56,152000
298,7399,1.15,3,3,1,2,135.125,2570.46,239000
299,11700,1.1,4,3,1,2,129.25,2272.98,175000
300,14000,1.1,2,3,1,1,129.25,1486.56,158500
301,15750,0.95,2,2,2,1,111.625,1948.14,157000
302,16226,1.15,3,4,1,2,135.125,3008.5,267000
303,13704,1.15,2,3,1,3,135.125,2336.8,205000
304,9800,0.95,2,3,0,2,111.625,1612.12,149900
305,18386,1.15,3,3,1,3,135.125,4097.88,295000
306,10386,1.15,3,3,0,3,135.125,3165.28,305900
307,13474,1.15,4,4,1,3,135.125,2990.6,225000
308,7920,1.1,1,3,0,0,129.25,1610.52,89500
309,12342,0.9,1,1,0,2,105.75,1292.28,82500
310,12378,1.2,3,3,3,3,141,3181.16,360000
311,7685,1.1,3,3,1,2,129.25,2044.28,165600
312,8000,1.1,2,2,1,1,129.25,1475.36,132000
313,7800,0.95,2,3,1,2,111.625,1675.02,119900
314,215245,1.15,4,3,2,2,135.125,3333.12,375000
315,9600,1.15,3,3,1,2,135.125,2056.2,178000
316,7795,1.15,4,3,1,2,135.125,1881.78,188500
317,13005,1.15,4,4,1,2,135.125,3165.2,260000
318,9000,1.15,3,3,1,3,135.125,2433.56,270000
319,9900,1.15,4,4,1,3,135.125,3751.06,260000
320,14115,1.15,3,3,2,2,135.125,2395.92,187500
321,16259,1.2,4,4,0,3,141,3222.52,342643
322,12099,1.15,4,4,1,3,135.125,3356.84,354000
323,10380,1.15,4,4,1,2,135.125,3866.68,301000
324,5820,0.85,2,3,0,1,99.875,1744.68,126175
325,11275,1.15,3,5,1,2,135.125,3330.4,242000
326,5000,0.95,1,2,0,2,111.625,1258.76,87000
327,10846,1.15,4,1,2,2,135.125,2852.86,324000
328,11600,1.1,2,3,0,1,129.25,1998.34,145250
329,11888,1.1,2,5,0,2,129.25,2654.16,214500
330,6402,0.95,1,3,0,1,111.625,1479.44,78000
331,10624,0.95,3,6,0,1,111.625,2414.4,119000
332,8176,0.95,2,3,0,1,111.625,1639.32,139000
333,10655,1.15,3,3,1,3,135.125,3071.7,284000
334,8198,1.15,3,2,1,2,135.125,2129.92,207000
335,9042,1.1,4,3,2,2,129.25,2277.96,192000
336,164660,0.95,4,3,2,2,111.625,3109.16,228950
337,14157,1.2,3,3,1,3,141,3039.54,377426
338,9135,1.15,3,3,0,2,135.125,2423.56,214000
339,14145,1.15,3,3,0,2,135.125,2136.78,202500
340,12400,1.1,1,3,0,1,129.25,1894.5,155000
341,14191,1.15,3,4,0,2,135.125,2265.16,202900
342,8400,0.9,1,2,0,1,105.75,1224,82000
343,8544,0.85,2,2,0,2,99.875,1040,87500
344,8849,1.2,2,2,1,2,141,2539.44,266000
345,2592,0.95,2,3,0,1,111.625,1501.3,85000
346,6435,1.1,1,3,1,1,129.25,1849.16,140200
347,12772,1.1,1,2,0,1,129.25,1395.56,151500
348,17600,1.1,3,3,2,2,129.25,2355.64,157500
349,2448,1.15,4,2,0,2,135.125,2056.34,154000
350,20431,1.2,4,4,2,3,141,3724.84,437154
351,7820,1.2,2,2,1,2,141,2569.92,318061
352,5271,1.15,3,2,1,2,135.125,2402.12,190000
353,9084,0.95,2,3,0,1,111.625,1523.64,95000
354,8520,1.1,1,2,0,2,129.25,962.56,105900
355,8400,1.1,1,2,2,1,129.25,2085.16,140000
356,11249,1.1,3,3,0,2,129.25,1855.32,177500
357,9248,1.1,3,3,0,2,129.25,1779.24,173000
358,4224,0.95,3,3,1,2,111.625,2173.96,134000
359,6930,0.95,2,3,0,1,111.625,2217.56,130000
360,12011,1.15,4,3,1,2,135.125,2970.64,280000
361,7540,1.1,2,2,1,2,129.25,1538.66,156000
362,9144,0.95,2,3,0,1,111.625,1887.9,145000
363,7301,1.15,3,4,1,2,135.125,2077.76,198500
364,1680,1.1,2,2,0,1,129.25,1337.32,118000
365,18800,1.1,4,3,1,2,129.25,2323.6,190000
366,10690,0.95,1,3,0,1,111.625,1981.44,147000
367,9500,1.1,3,3,2,2,129.25,2163.18,159000
368,9150,1.1,2,3,1,1,129.25,1993.82,165000
369,7800,0.95,1,2,1,1,111.625,1885.04,132000
370,9830,0.95,2,3,1,2,111.625,2052.6,162000
371,8121,1.1,3,3,1,2,129.25,2026.84,172400
372,17120,0.9,2,4,1,2,105.75,1635.2,134432
373,7175,1.1,2,2,0,1,129.25,1493.2,125000
374,10634,0.95,2,3,0,1,111.625,1738.2,123000
375,8200,1.15,3,4,1,2,135.125,2267.56,219500
376,10020,1,2,1,0,0,117.5,1214.24,61000
377,8846,0.95,1,2,0,2,111.625,1258.92,148000
378,11143,1.15,3,4,1,2,135.125,3181.36,340000
379,11394,1.2,3,1,1,3,141,2939.3,394432
380,8123,1.1,3,3,1,2,129.25,2189.36,179000
381,5000,0.95,2,3,1,1,111.625,2265.36,127000
382,7200,1.15,3,2,1,2,135.125,1898.08,187750
383,9245,1.15,3,3,0,2,135.125,2194.48,213500
384,9000,1.1,1,2,0,2,129.25,1083.6,76000
385,53107,1.1,4,3,2,2,129.25,3053.34,240000
386,3182,1.15,2,2,1,2,135.125,1824.68,192000
387,8410,0.95,1,5,0,0,111.625,1489.04,81000
388,7200,1.1,2,3,1,1,129.25,1820.46,125000
389,9382,1.15,2,3,0,2,135.125,1986.84,191000
390,12474,10,4,3,1,3,1175,3470.8,426000
391,8405,0.95,2,4,0,1,111.625,2025.52,119000
392,12209,1.1,4,3,1,2,129.25,2654.32,215000
393,8339,0.95,1,3,0,1,111.625,882,106500
394,7446,0.9,1,2,2,0,105.75,1099.08,100000
395,10134,0.95,1,2,0,1,111.625,1271,109000
396,9571,0.95,2,3,0,1,111.625,1743.74,129000
397,7200,0.95,1,2,0,2,111.625,1546.1,123000
398,7590,0.95,2,4,1,1,111.625,2371.92,169500
399,8967,0.95,1,2,0,1,111.625,1346.08,67000
400,8125,1.15,3,2,0,2,135.125,2266.24,241000
401,14963,1.15,3,1,2,2,135.125,2143.24,245500
402,8767,1.15,2,3,1,2,135.125,1684.96,164990
403,10200,0.95,1,2,0,1,111.625,967.68,108000
404,12090,1.15,3,4,1,2,135.125,2773.04,258000
405,10364,1.1,3,3,1,2,129.25,1829.68,168000
406,9991,0.9,3,3,1,2,105.75,2497.32,150000
407,10480,1.1,1,3,0,1,129.25,1936.92,115000
408,15576,1.1,2,4,0,1,129.25,2056,177000
409,14154,1.15,3,3,1,3,135.125,2642.12,280000
410,10800,1.15,4,3,1,3,135.125,2717.38,339750
411,9571,0.95,1,3,0,1,111.625,1633.28,60000
412,34650,0.95,2,3,0,2,111.625,1879.68,145000
413,4403,1.15,4,2,1,2,135.125,2201.32,222000
414,8960,0.95,1,2,1,2,111.625,1424.64,115000
415,11228,1.15,4,3,1,3,135.125,2871.98,228000
416,8899,1.15,2,3,0,2,135.125,1811.36,181134
417,7844,1.1,2,3,1,2,129.25,1659.22,149500
418,22420,1.1,4,4,1,3,129.25,3391.12,239000
419,8160,0.95,3,3,0,1,111.625,1451.76,126000
420,8450,0.95,2,3,1,1,111.625,1845.1,142000
421,7060,1.15,4,2,0,4,135.125,2165.38,206300
422,16635,1.1,3,3,1,2,129.25,2627.8,215000
423,21750,0.95,1,2,0,2,111.625,1264.64,113000
424,9200,1.15,4,4,1,3,135.125,3429.64,315000
425,9000,1.1,2,2,1,1,129.25,1775.52,139000
426,3378,1.15,2,3,2,1,135.125,1682.16,135000
427,12800,1.15,4,2,1,2,135.125,2873.96,275000
428,8593,0.9,1,3,0,1,105.75,1258.88,109008
429,6762,1.15,3,2,0,2,135.125,1882.4,195400
430,11457,1.1,3,3,1,2,129.25,2292.18,175000
431,1680,1.1,2,2,0,1,129.25,1253.82,85400
432,5586,1.1,1,4,0,0,129.25,1528.68,79900
433,1920,0.95,3,2,0,2,111.625,1921.74,122500
434,10839,1.1,3,3,1,2,129.25,1892.08,181000
435,1890,0.9,2,1,0,0,105.75,1031.02,81000
436,10667,1.15,4,3,1,2,135.125,2282.5,212000
437,4400,1.1,1,2,0,2,129.25,1299.44,116000
438,6000,1.1,1,2,0,1,129.25,1243.92,119000
439,4280,0.95,1,2,1,1,111.625,971.22,90350
440,12354,1.1,1,3,0,2,129.25,1424.32,110000
441,15431,10,3,2,2,3,1175,4211.96,555000
442,12108,0.9,2,4,0,0,105.75,1888.42,118000
443,6240,0.95,2,3,1,2,111.625,1874.84,162900
444,3922,1.15,2,2,1,3,135.125,1715.2,172500
445,8750,1.15,4,4,1,2,135.125,2581.04,210000
446,9855,1.1,1,3,1,2,129.25,2091.08,127500
447,16492,1.1,3,2,1,2,129.25,2639.16,190000
448,11214,1.15,3,4,1,2,135.125,2203.36,199900
449,8600,1.1,2,3,1,1,129.25,1594.4,119500
450,6000,0.85,2,2,0,1,99.875,1618.06,120000
451,5684,1.1,1,2,0,1,129.25,1131.04,110000
452,70761,1.15,3,2,2,2,135.125,2356.14,280000
453,9303,1.1,4,3,0,2,129.25,2442.2,204000
454,9000,1.15,3,3,0,2,135.125,1829.04,210000
455,9297,0.95,4,4,0,2,111.625,2757.88,188000
456,9600,1.15,2,3,1,2,135.125,1901.2,175500
457,4571,0.95,1,4,0,3,111.625,1603.2,98000
458,53227,0.9,2,2,2,2,105.75,2677.32,256000
459,5100,1.15,1,3,1,1,135.125,2003.92,161000
460,7015,0.95,2,3,1,1,111.625,1682.66,110000
461,8004,1.15,4,3,0,2,135.125,2472.92,263435
462,7200,1.15,2,3,0,2,135.125,1646.04,155000
463,8281,0.95,1,3,1,1,111.625,1607.36,62383
464,11988,1.1,2,3,1,1,129.25,1971.04,188700
465,8430,0.95,2,3,0,0,111.625,1540.64,124000
466,3072,1.15,2,2,1,2,135.125,1907.16,178740
467,10628,1.15,2,2,1,2,135.125,2004.68,167000
468,9480,0.95,2,3,2,1,111.625,2086.6,146500
469,11428,1.15,2,3,1,3,135.125,2124.48,250000
470,9291,1.1,3,3,0,2,129.25,2235.96,187000
