LotArea,OverallQual,T_Sf,T_Bath,Fireplaces,GarageCars,Ppf_Adj,SalePrice
8899,7,1808.4,2,0,2,129.25,181134
11988,6,1958,1.5,1,1,123.375,188700
17423,9,3473.68,3,1,3,94,501837
13300,5,1600.04,1,0,1,111.625,132000
7180,5,1222.92,1,0,1,111.625,127000
24090,7,3006.52,2,2,1,129.25,244400
12180,4,1216.56,2,0,1,105.75,80000
4270,3,1341.2,1,0,0,99.875,79000
14303,8,2966.08,3,1,2,940,301500
9156,6,1905.92,2,1,2,123.375,185750
1477,4,959.1,2,0,1,105.75,80000
6762,7,1698.08,2,1,2,129.25,193879
11194,8,2545.44,2.5,1,2,940,230500
10041,8,2600.34,3.5,1,2,940,220000
4130,3,804.6,1,0,0,99.875,52000
10592,6,1828.64,1.5,2,1,123.375,165000
7750,8,1713.54,3.5,1,2,940,184100
9400,6,1528.1,4,0,0,123.375,127500
2448,7,2033.42,3.5,0,2,129.25,154000
10784,7,1681.2,2.5,1,2,129.25,160000
25339,5,1743.04,2,0,2,111.625,112000
10440,5,1886.64,2,1,2,111.625,157500
14230,8,2083.28,2,1,3,940,256300
10918,7,2437.28,1.5,2,1,129.25,234000
5604,5,1330.8,2,0,0,111.625,98000
8487,7,2073.84,2,0,2,129.25,190000
4435,6,1377.74,2,0,2,123.375,140000
6380,5,1428.12,1,1,1,111.625,113000
10634,5,1608.16,2,0,1,111.625,123000
16647,5,2507.2,3,2,2,111.625,171000
35760,10,4868.12,4.5,1,3,103.4,625000
17104,7,1926.52,3.5,1,2,129.25,179665
2665,5,1484.54,1.5,1,1,111.625,115000
13501,8,2157.34,3,1,3,940,255000
8760,7,2562.68,2.5,0,3,129.25,239799
21750,5,1771,1,1,2,111.625,115000
10240,6,2391.38,3,1,2,123.375,207500
7420,5,1478.06,1,0,2,111.625,132000
12342,4,1278.64,1,0,2,105.75,82500
14778,6,2288.24,2,1,2,123.375,224000
3136,7,1827.2,2,1,2,129.25,171750
10106,5,1676.74,3,0,0,111.625,127500
8450,7,2286.46,3,0,2,129.25,210000
4230,7,1923.36,2,1,2,129.25,208900
12704,8,2685.76,2.5,1,3,940,253293
7599,4,1251.1,2,0,2,105.75,129500
25095,5,2310.96,3,2,1,111.625,143000
10500,4,1235.52,1,1,0,105.75,115000
8172,4,1733.48,2,0,1,105.75,135000
7642,7,1873.36,1.5,1,1,129.25,189950
14803,6,2401.6,2.5,1,2,123.375,190000
16659,7,2924.1,3.5,1,2,129.25,235000
9196,7,2178.8,2,0,2,129.25,201000
8658,6,1931.94,2,1,2,123.375,160000
5586,6,1528.68,1,0,0,123.375,79900
8070,4,1443.6,2,0,0,105.75,123600
7795,7,1862.78,3.5,1,2,129.25,188500
11160,7,3020.3,3.5,2,2,129.25,244000
9098,4,983.96,2,0,0,105.75,86000
9965,8,3776.18,4,1,3,940,424870
4500,6,1998.52,3,0,2,123.375,162000
10593,7,2806.42,3,1,2,129.25,260400
4571,5,1603.2,1,0,3,111.625,98000
12984,5,2391.14,3,1,2,111.625,217500
11000,5,1681.12,1.5,1,2,111.625,154000
9738,5,1765.8,2,0,1,111.625,104900
10240,8,2547.04,2.5,1,3,940,275500
2628,7,1861.52,2.5,0,2,129.25,175500
8200,7,2265.56,2.5,1,2,129.25,219500
10552,5,2427.24,2.5,1,2,111.625,165500
10448,6,2395.12,2.5,1,2,123.375,158000
12968,5,1475.26,2,0,1,111.625,144000
4608,4,956.16,1,0,1,105.75,80000
10769,8,2189.76,2.5,0,2,940,212000
10800,8,2685.82,3.5,1,3,940,339750
9650,6,1930.6,3,1,2,123.375,167900
13173,9,2667.76,3,2,2,94,325000
5400,5,1190.74,1,0,1,111.625,117000
13006,7,2505.92,2.5,1,2,129.25,222000
2217,4,1397.9,1.5,0,1,105.75,88000
12735,4,1419.84,1,0,2,105.75,111250
10125,5,1734,2,0,2,111.625,126000
15611,8,2261.92,2.5,1,2,940,233230
14774,9,3013.04,2.5,1,3,94,333168
6629,6,1813.6,3,0,1,123.375,103600
21453,6,1636.04,2,2,2,123.375,180000
9600,6,1709.44,1,0,1,123.375,119000
35133,5,2570.26,2.5,2,3,111.625,186700
3316,8,1975.06,2.5,1,2,940,197000
16033,9,3152.92,3,1,3,94,326000
19900,7,3212.38,3,1,2,129.25,180000
8400,8,2120.7,3.5,0,2,940,227000
8000,6,2146.22,3.5,1,2,123.375,188000
5400,6,2209.76,2,0,1,123.375,152000
10800,5,2163.8,3,1,2,111.625,170000
11880,7,2168.08,2,1,2,129.25,157000
14684,7,2952.18,2,1,3,129.25,271900
1680,6,1229.64,1.5,0,1,123.375,89500
11050,9,3097.86,3.5,2,3,94,313000
