,0
0,208984.27710047204
1,177144.80001290224
2,219031.40672821834
3,158209.6077042087
4,259462.82067071754
5,148880.58121344514
6,319235.1370629261
7,195541.27167843663
8,145291.43376336514
9,115773.47687895117
10,130759.66432241962
11,337097.1330985414
12,128218.7599102459
13,228197.33927699114
14,155892.14886381582
15,124091.72000084764
16,142526.54142970353
17,104218.6864858947
18,149413.56967013545
19,130516.04744673941
20,331800.93340493727
21,118528.91740335709
22,227861.81333577432
23,129898.99999999996
24,144239.8519077658
25,250324.58834936452
26,131012.49627438468
27,318683.2306521175
28,167579.2281634583
29,71934.17475364218
30,49519.55184491397
31,151353.57798292686
32,178737.43736132278
33,172261.93313138353
34,254757.16417203494
35,302787.4360508876
36,148884.57497098338
37,151206.5804694722
38,115022.96676370324
39,94697.61549223385
40,158699.81193393312
41,166961.38231089126
42,148501.90722046574
43,134170.21625709464
44,141192.1314646129
45,262411.1855148045
46,251279.7320561856
47,250146.23931545427
48,112359.39449526934
49,129274.4073219111
50,170942.79098542244
51,114316.42918374605
52,121603.95466228001
53,360014.2665948793
54,137376.431113317
55,182785.6303203683
56,186714.68889915536
57,196718.1772931089
58,404772.5565143763
59,124052.12779478257
60,166634.1368244191
61,96658.40696717156
62,221873.06797555866
63,146679.78938880932
64,224367.9444001757
65,302314.83989310823
66,182876.65753667496
67,224769.32449855006
68,86198.73813659581
69,229773.4907166713
70,244794.5425505202
71,131880.92414205865
72,184999.00000000038
73,143985.5047148565
74,117129.08278894394
75,91429.81495721715
76,115917.14748391791
77,125718.37694982231
78,137551.36978163788
79,111090.74514280935
80,188619.22352768425
81,157377.05166205848
82,230140.7536067948
83,126666.18182432707
84,172803.41252069533
85,256055.8490136113
86,176776.9830646733
87,166431.34890069067
88,101988.1714019337
89,121867.67719906065
90,105787.54132947295
91,106701.82378822782
92,149862.5948597665
93,133899.00000000026
94,209053.3792057649
95,176238.4317662394
96,213932.60464398292
97,125453.86424583803
98,84064.24020628048
99,118612.96600148357
100,198298.88236925707
101,173511.939600248
102,118951.33854729364
103,195998.809984678
104,151216.4157367108
105,249088.87389620085
106,93690.48389394213
107,114279.0526690098
108,120346.88276387153
109,194286.38468707897
110,143121.96895212278
111,176429.29104350318
112,374810.1267656496
113,220693.46873227842
114,191081.89723669708
115,175545.7724473461
116,137363.13711210786
117,153150.48284361028
118,359558.14674116665
119,173325.24986737937
120,154013.99796570826
121,98812.82780068548
122,135157.83933484778
123,160717.3210583927
124,167015.82797236583
125,68463.87770094836
126,125233.09852529434
127,86640.3226103106
128,154660.973546494
129,138104.71894814496
130,218610.6500399187
131,221485.92189327872
132,145503.09159379374
133,203361.60923480117
134,169757.76743619135
135,172437.4203940952
136,147662.59353790016
137,216145.4390972205
138,241937.86972240414
139,213568.97638458922
140,113024.18398486209
141,247244.82751328562
142,162299.12976587604
143,206099.00133771496
144,134549.51247918996
145,137527.1635358641
146,110475.63208483045
147,231766.76455817782
148,139976.93584544872
149,113809.47980633905
150,141153.05333160918
151,344454.71826688934
152,204881.0919845904
153,207061.74830755114
154,125404.201732679
155,91787.2472598308
