,0
0,204194.55
1,167827.64
2,209072.98
3,154440.81
4,273452.4
5,159696.11
6,274998.28
7,203024.23
8,127978.02
9,126780.37
10,125942.71
11,368347.2
12,122210.52
13,240349.25
14,147972.72
15,123536.9
16,148435.31
17,103464.87
18,156415.64
19,127037.195
20,348732.06
21,126997.336
22,222738.22
23,138164.1
24,145432.89
25,248940.33
26,131497.0
27,313619.84
28,198466.1
29,72208.81
30,48660.645
31,141569.19
32,194479.52
33,192407.23
34,265375.28
35,319079.2
36,152405.14
37,159508.3
38,131189.0
39,87066.61
40,141343.77
41,161100.83
42,139331.69
43,122245.49
44,130507.16
45,256705.45
46,287690.78
47,229553.97
48,114674.02
49,127624.56
50,162952.9
51,119431.08
52,114621.43
53,373416.34
54,127325.13
55,167949.48
56,196076.08
57,199316.61
58,405775.97
59,120631.305
60,170686.11
61,102687.8
62,191102.62
63,134319.42
64,219517.44
65,309017.12
66,205650.88
67,223253.72
68,85258.805
69,235888.22
70,257209.03
71,125859.984
72,183805.39
73,143786.39
74,110266.484
75,98196.19
76,118426.52
77,116934.23
78,128756.87
79,113482.516
80,185813.03
81,170185.16
82,232759.47
83,123613.62
84,155758.3
85,261928.1
86,184067.12
87,160990.39
88,87231.336
89,125439.266
90,102957.36
91,113432.85
92,140130.83
93,155107.84
94,191924.88
95,178453.28
96,216372.72
97,126219.625
98,81544.625
99,111724.72
100,205252.34
101,193202.12
102,122570.96
103,185572.0
104,153059.88
105,253989.75
106,97402.47
107,102007.67
108,118847.87
109,210321.88
110,142101.72
111,161800.47
112,382305.97
113,213719.16
114,220656.72
115,166320.5
116,127881.39
117,151857.45
118,337478.3
119,177833.69
120,155858.14
121,100945.17
122,135785.23
123,177556.45
124,170755.8
125,81790.586
126,131542.03
127,94074.305
128,147413.25
129,139642.03
130,203179.0
131,219555.11
132,138911.75
133,207771.66
134,180682.08
135,167935.08
136,145791.73
137,192053.97
138,241458.92
139,201518.64
140,110596.336
141,240098.84
142,136432.44
143,219252.77
144,138515.42
145,145330.84
146,104269.1
147,221004.64
148,137143.28
149,107124.94
150,133658.27
151,338509.78
152,188223.83
153,210658.33
154,110023.1
155,84560.945
156,114487.164
157,273498.6
158,221998.95
159,301746.2
160,153264.52
161,387163.06
162,231482.62
163,95192.13
164,142704.17
165,119574.45
166,201282.58
167,367834.3
168,198107.36
169,205618.92
170,125524.47
171,188314.67
172,220805.77
173,151621.58
174,197459.06
175,227298.2
176,241584.69
177,190365.94
178,463887.5
179,117404.88
180,182438.16
181,172270.42
182,122655.5
183,210450.48
184,121972.875
185,281065.0
186,173382.47
187,132542.89
188,134710.56
189,270093.2
190,297588.66
191,170903.89
192,204276.16
193,145330.84
194,118838.57
195,151541.78
196,323007.03
197,232883.38
198,121123.08
199,294549.7
200,144320.66
201,151277.23
202,110210.13
203,147494.53
204,112520.055
205,174645.2
206,139702.64
207,140653.81
208,269361.62
209,142625.11
210,85914.31
211,179184.03
212,234126.19
213,156379.55
214,142934.48
215,138980.0
216,208184.61
217,100709.97
218,237520.1
219,171670.17
220,210356.98
221,209575.05
222,179333.95
223,118170.086
224,396134.7
225,98283.88
226,307338.66
227,98056.84
228,120701.27
229,200496.7
230,132343.95
231,360581.8
232,100966.445
233,120281.27
234,222585.75
235,87424.47
236,189898.48
237,201544.02
238,256494.98
239,129247.0
240,249542.17
241,96162.07
242,95201.03
243,122328.76
244,228769.39
245,229794.25
246,132042.66
247,143588.92
248,194696.81
249,282855.6
250,88106.88
251,250405.4
252,190242.16
253,154127.4
254,143771.72
255,224374.95
256,202475.88
257,235592.81
258,206027.6
259,98549.31
260,163079.77
261,346301.47
262,147078.61
263,125096.875
264,81369.6
265,187980.58
266,185952.55
267,177708.9
268,113487.82
269,146939.95
270,252663.4
271,217326.72
272,288537.06
273,165847.86
274,135508.14
275,162035.19
276,223217.53
277,113392.62
278,369754.66
279,210953.25
280,231368.73
281,198209.98
282,212139.31
283,247268.9
284,204201.36
285,152656.95
286,175763.86
287,99553.36
288,115901.25
289,130865.85
290,233731.77
291,125837.42
292,139865.14
293,215093.84
294,177466.89
295,139666.67
296,141568.52
297,216548.81
298,183276.44
299,156128.31
300,156991.75
301,278317.62
302,247200.53
303,134819.28
304,293483.62
305,297519.97
306,245157.53
307,95689.195
308,109242.29
309,384097.38
310,182852.89
311,130525.95
312,128046.38
313,320831.28
314,163493.67
315,199835.45
316,238870.34
317,256887.89
318,332564.12
319,183913.58
320,310366.88
321,327124.2
322,280053.6
323,133747.78
324,259115.12
325,89780.67
326,293758.03
327,141660.22
328,163754.27
329,88424.91
330,128947.45
331,136201.42
332,257510.92
333,190517.22
334,196807.83
335,228910.38
336,372717.94
337,220450.8
338,207688.05
339,146934.5
340,211563.9
341,91512.086
342,90361.87
343,251360.78
344,94997.33
345,141309.53
346,130401.28
347,179772.84
348,184917.64
349,462246.9
350,290112.28
351,209101.1
352,95637.555
353,100323.07
354,152673.39
355,183629.48
356,169171.69
357,138591.0
358,120200.664
359,253695.61
360,142751.39
361,141173.08
362,205488.75
363,104959.0
364,180521.89
365,129001.58
366,161092.38
367,158039.23
368,145526.69
369,154648.33
370,177777.06
371,127993.16
372,117885.64
373,119396.46
374,209509.7
375,71285.71
376,149972.06
377,304310.4
378,386826.12
379,183463.89
380,138983.84
381,196470.47
382,204206.42
383,75830.71
384,305725.0
385,183876.4
386,85546.07
387,133914.86
388,206357.36
389,432825.06
390,119159.97
391,225690.72
392,108453.47
393,98626.98
394,110580.09
395,135447.03
396,124596.21
397,159481.97
398,74147.23
399,217142.73
400,235257.16
401,173742.48
402,100007.836
403,219054.22
404,166026.22
405,161880.58
406,117375.555
407,169209.45
408,281112.72
409,332995.44
410,67631.46
411,144818.94
412,246556.12
413,110726.04
414,252668.7
415,176979.62
416,149903.0
417,249662.86
418,108283.15
419,136405.9
420,184315.16
421,223731.58
422,123173.734
423,314730.84
424,144976.33
425,126057.586
426,261126.73
427,112111.305
428,199502.6
429,183396.38
430,95985.875
431,98987.03
432,117914.766
433,174466.58
434,86668.21
435,214187.23
436,107650.94
437,120178.31
438,92935.92
439,127539.516
440,533518.6
441,121054.945
442,149768.67
443,202691.1
444,216316.6
445,161951.14
446,217823.05
447,209349.52
448,117116.695
449,115954.76
450,99788.336
451,236406.44
452,208696.88
453,208168.33
454,163778.31
455,156993.84
456,98353.83
457,245760.31
458,148801.84
459,113927.01
460,236060.83
461,145715.55
462,107255.69
463,170772.89
464,119340.11
465,168916.48
466,161938.94
467,162495.56
468,244499.56
469,195818.56
470,214637.9
471,184591.67
472,143269.39
473,408753.44
474,245562.58
475,131117.95
476,225690.3
477,374545.88
478,322873.97
479,104044.414
480,344279.9
481,347798.78
482,155510.42
483,158036.81
484,130720.91
485,148519.7
486,146603.33
487,186483.19
488,135643.25
489,94491.16
490,109893.38
491,157724.55
492,184060.45
493,143189.48
494,91899.79
495,39758.035
496,429572.3
497,156548.61
498,129555.27
499,124700.46
500,110138.16
501,202657.08
502,141898.86
503,257226.69
504,137979.08
505,127709.67
506,214824.06
507,199406.53
508,136398.88
509,137972.11
510,147799.23
511,184797.77
512,123276.33
513,142170.45
514,98089.3
515,402830.6
516,172533.66
517,297599.72
518,192628.28
519,233963.7
520,97637.67
521,149560.72
522,143123.4
523,316578.6
524,182268.42
525,131305.28
526,445104.38
527,88810.195
528,203804.47
529,227145.66
530,119030.6
531,103439.31
532,45644.688
533,174973.8
534,122487.41
535,182211.77
536,123778.77
537,139960.55
538,242691.25
539,355670.6
540,244512.86
541,220959.75
542,131097.69
543,216501.31
544,260218.11
545,177219.62
546,127108.086
547,127086.75
548,230955.39
549,137115.94
550,118869.85
551,263842.5
552,111369.62
553,262452.7
554,113408.3
555,143116.03
556,92856.19
557,180088.06
558,198540.67
559,140368.92
560,156540.4
561,113283.125
562,173703.55
563,261307.6
564,116269.13
565,304817.84
566,206019.92
567,288546.97
568,139179.22
569,146488.58
570,121422.055
571,209657.02
572,159725.2
573,123327.6
574,114166.29
575,140536.34
576,161330.83
577,156518.16
578,133299.67
579,173619.25
580,300881.25
581,123409.37
582,269665.4
583,137039.2
584,413027.38
585,117538.875
586,129929.81
587,181465.9
588,96344.28
589,196587.42
590,462904.22
591,139389.62
592,143977.81
593,112721.11
594,337040.56
595,109916.65
596,194229.1
597,212528.11
598,153702.03
599,242829.0
600,129323.08
601,219238.97
602,151645.86
603,234536.5
604,203917.62
605,157062.14
606,178899.39
607,313020.16
608,122593.64
609,329962.88
610,149218.94
611,260467.39
612,134124.47
613,82683.41
614,143742.92
615,195948.95
616,118238.625
617,305824.12
618,315150.75
619,67866.71
620,237588.73
621,127637.47
622,182438.16
623,161019.11
624,136139.48
625,134773.39
626,162126.53
627,188155.27
628,157007.17
629,117395.81
630,211598.81
631,147966.22
632,136650.56
633,131135.45
634,195825.28
635,57913.742
636,101241.055
637,92159.14
638,267834.4
639,281401.06
640,235786.8
641,359949.28
642,153399.48
643,331875.97
644,127845.91
645,98982.69
646,148053.03
647,161223.16
648,83326.03
649,204415.1
650,126134.31
651,199211.52
652,134018.6
653,346471.9
654,94922.44
655,153788.25
656,163630.78
657,130211.77
658,168572.11
659,187905.11
660,393958.22
661,117983.49
662,129073.195
663,403445.72
664,242243.81
665,149352.19
666,221480.86
667,165312.23
668,117973.7
669,190974.19
670,106673.62
671,175192.03
672,256817.34
673,141778.34
674,149071.72
675,100894.35
676,106384.48
677,349144.72
678,127135.73
679,125436.75
680,133344.44
681,173692.78
682,258145.8
683,226360.45
684,232712.42
685,214860.33
686,146329.27
687,266998.94
688,186266.52
689,153290.83
690,627832.3
691,303714.3
692,107589.35
693,131305.28
694,175390.12
695,94317.484
696,121034.17
697,133101.52
698,180901.05
699,336085.7
700,136102.75
701,369669.7
702,150480.81
703,213536.42
704,66129.12
705,288401.97
706,209028.53
707,184053.95
708,118182.14
709,65899.516
710,95218.1
711,187183.08
712,116084.55
713,175354.34
714,138742.16
715,182166.77
716,164915.42
717,343659.6
718,134208.92
719,258848.39
720,145121.98
721,118465.266
722,129836.414
723,326973.22
724,118902.28
725,232444.27
726,197033.94
727,133258.62
728,100703.73
729,241297.55
730,187876.62
731,251092.19
732,137724.44
733,116020.69
734,140872.75
735,87902.59
736,225426.78
737,157543.23
738,198131.73
739,122472.11
740,129020.77
741,162051.11
742,166374.12
743,192423.38
744,279803.2
745,230568.94
746,269433.28
747,238802.23
748,91218.01
749,95696.22
750,156111.48
751,216493.27
752,268298.94
753,143259.14
754,162354.61
755,204620.88
756,149307.9
757,169057.19
758,315813.56
759,117210.445
760,106320.07
761,193304.78
762,338215.8
763,258366.23
764,245466.81
765,184950.62
766,163604.4
767,243061.62
768,523963.88
769,130833.53
770,114071.93
771,131833.02
772,120311.22
773,298716.9
774,160997.77
775,219496.28
776,140774.98
777,147627.1
778,141667.9
779,160777.73
780,189879.64
781,200595.97
782,161624.19
783,140464.27
784,155613.83
785,132773.9
786,219342.28
787,110588.84
788,191870.16
789,156459.2
790,151352.42
791,240831.1
792,216507.1
793,196498.02
794,160328.34
795,133535.58
796,115445.42
797,462858.75
798,155145.12
799,196485.64
800,115959.734
801,186603.8
802,445404.6
803,119831.42
804,220467.2
805,128272.99
806,211776.67
807,150018.7
808,116129.836
809,168445.47
810,153290.83
811,90975.36
812,154275.8
813,119904.36
814,197112.88
815,138799.2
816,284688.0
817,143442.61
818,212841.08
819,193889.31
820,97477.83
821,200868.0
822,144014.61
823,224949.38
824,388651.72
825,102075.4
826,206515.64
827,181134.45
828,151645.86
829,166824.72
830,141107.8
831,227583.44
832,164798.45
833,136785.77
834,135416.81
835,133346.84
836,97344.52
837,149881.12
838,124410.86
839,125773.47
840,156400.42
841,146414.7
842,138023.95
843,138194.39
844,180209.19
845,202729.38
846,130224.94
847,224563.98
848,190273.9
849,143977.81
850,190239.98
851,160601.2
852,173327.58
853,173406.28
854,134101.44
855,133264.22
856,170476.73
857,138742.16
858,232507.0
859,171080.98
860,132406.83
861,143703.17
862,134219.03
863,209258.7
864,130014.1
865,246491.47
866,140819.83
867,180542.22
868,233957.9
869,101992.3
870,184011.66
871,119978.02
872,141721.3
873,99598.18
874,307480.84
875,140983.23
876,347085.72
877,142413.08
878,131235.3
879,173433.08
880,212195.16
881,168020.47
882,129229.25
883,120359.414
884,269775.0
885,160993.77
886,134348.38
887,258941.47
888,173766.34
889,123429.62
890,168309.3
891,138222.86
892,151346.8
893,121534.43
894,169889.7
895,94929.41
896,136865.36
897,536649.25
898,134292.78
899,115242.25
900,132398.23
901,186316.1
902,247429.8
903,121663.03
904,132295.0
905,255128.81
906,242261.83
907,135742.9
908,188250.03
909,157774.03
910,140324.88
911,96584.76
912,149366.58
913,163407.31
914,94272.34
915,36291.824
916,132305.97
917,277083.5
918,173737.02
919,201281.05
920,161243.61
921,173743.31
922,215607.08
923,186876.64
924,148399.08
925,313730.25
926,177921.9
927,234528.89
928,214770.19
929,215090.97
930,119173.49
931,315607.62
932,209031.72
933,231030.5
934,89881.76
935,189717.64
936,233162.94
937,262643.75
938,207814.27
939,163664.03
940,213214.48
941,141548.67
942,142389.72
943,138949.39
944,162933.02
945,145773.23
946,264469.28
947,204920.25
948,176589.66
949,134392.84
950,115341.1
951,124420.47
952,171134.17
953,118204.58
954,145306.05
955,133123.47
956,130886.07
957,187250.92
958,165670.19
959,115671.234
960,271043.0
961,153281.33
962,270499.94
963,216346.11
964,186804.11
965,137582.0
966,135378.06
967,81518.12
968,125314.07
969,81674.445
970,180570.62
971,119058.984
972,207378.11
973,162531.98
974,161033.39
975,84017.78
976,201265.31
977,109269.9
978,132741.38
979,172291.12
980,324712.84
981,165672.39
982,234502.5
983,135469.77
984,126032.586
985,126029.82
986,398593.34
987,189660.11
988,198815.22
989,316085.62
990,174813.67
991,192031.25
992,180006.5
993,341058.72
994,110490.49
995,134473.22
996,169446.83
997,94769.484
998,194819.4
999,80936.195
1000,83856.484
1001,247920.86
1002,143920.42
1003,200496.7
1004,136457.3
1005,176101.28
1006,92986.1
1007,248987.58
1008,115379.27
1009,122359.09
1010,103645.1
1011,161202.72
1012,105412.62
1013,127297.695
1014,204805.36
1015,232694.22
1016,187629.89
1017,174611.9
1018,208170.11
1019,167058.75
1020,194819.4
1021,103360.03
1022,200496.7
1023,278997.7
1024,115923.8
1025,153330.02
1026,303960.03
1027,130364.48
1028,113600.22
1029,140940.48
1030,192383.2
1031,320941.75
1032,232628.98
1033,132784.55
1034,84096.02
1035,327707.16
1036,247801.48
1037,103029.26
1038,86831.36
1039,159250.5
1040,162681.78
1041,191523.36
